player_id,name,age,draft_round,draft_pick,height,weight,season,pred_season,completions,targets,receiving_yards,receiving_tds,adot,receiving_yac,firstdowns_per_tgt,carries,rushing_yards,rushing_tds,rushing_first_downs,tgt_sh,ay_sh,yac_sh,wopr_y,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fantasy_points_ppr,pred_fantasy_points,pct_increase,breakout
00-0022736,Steven Jackson,22,1,24,74,240,2005,2006,1.00,43,7.44,0.05,0.00,0.00,0.28,254,4.12,0.03,0.20,0.08,0,,0,0.08695652173913043,0.06,0.06278026905829596,0.08163709702506247,0.0784454421966217,0.564373897707231,0.17369062843886623,15.57,25.96,0.67,1
00-0022736,Steven Jackson,23,1,24,74,240,2006,2007,1.00,90,8.96,0.03,2.12,6.83,0.34,346,4.42,0.04,0.21,0.15,0.04,0.3800988875154512,0.25655332277603227,0.125,0.14622641509433962,0.1440677966101695,0.15561460258780035,0.1739833641404806,1.3614864864864864,0.28699340896215336,25.96,16.78,-0.35,0
00-0022736,Steven Jackson,24,1,24,74,240,2007,2008,1.00,38,7.13,0.03,0.13,7.00,0.32,237,4.23,0.02,0.15,0.09,0.00,0.31220657276995306,0.1351683431449806,0.0625,0.08275862068965517,0.08074534161490683,0.08101129269188395,0.09211806830701433,0.6376470588235295,0.22217073762714853,16.78,18.68,0.11,1
00-0022736,Steven Jackson,25,1,24,74,240,2008,2009,0.87,46,8.24,0.02,1.59,7.46,0.33,254,4.11,0.03,0.23,0.12,0.02,0.3543388429752066,0.20170770163735596,0.1111111111111111,0.15,0.14678899082568808,0.13766127479299056,0.15359137300211825,1.0106666666666666,0.2915398819276482,18.68,16.25,-0.13,0
00-0022736,Steven Jackson,26,1,24,74,240,2009,2010,0.68,74,4.24,0.00,-0.04,4.62,0.22,325,4.38,0.01,0.19,0.15,0.00,0.22709163346613545,0.21697290152015863,0,0.10738255033557047,0.1,0.056252239340738086,0.09000358294518095,0.615686274509804,0.26154869440212847,16.25,15.15,-0.07,0
00-0022736,Steven Jackson,27,1,24,74,240,2010,2011,0.75,61,6.28,0.00,0.26,6.23,0.25,330,3.76,0.02,0.18,0.10,0.00,0.20419129500268673,0.15834921911134742,0,0.08379888268156424,0.07614213197969544,0.05452733485193622,0.08724373576309796,0.6491525423728813,0.2020875712808884,15.15,14.92,-0.02,0
00-0022736,Steven Jackson,28,1,24,74,240,2011,2012,0.72,58,5.74,0.02,1.53,5.36,0.29,260,4.40,0.02,0.19,0.12,0.02,0.23650190114068442,0.18909272052325826,0.125,0.11643835616438356,0.11688311688311688,0.11938418175606423,0.11601469080970278,0.6620278330019881,0.2415333808197889,14.92,12.54,-0.16,0
00-0022736,Steven Jackson,29,1,24,74,240,2012,2013,0.72,53,6.06,0.00,1.42,5.28,0.25,258,4.05,0.02,0.18,0.10,0.02,0.18181818181818182,0.15581791008299883,0,0.06878306878306878,0.061611374407582936,0.042426645519429027,0.06788263283108645,0.5763016157989228,0.1588759880249006,12.54,12.37,-0.01,0
00-0022736,Steven Jackson,30,1,24,74,240,2013,2014,0.67,49,3.90,0.02,0.20,4.12,0.20,157,3.46,0.04,0.17,0.10,0.00,0.13015463917525774,0.15091498214219964,0.058823529411764705,0.06172839506172839,0.061452513966480445,0.058307377413900505,0.05799768621518199,0.38585858585858585,0.13845866766187723,12.37,9.43,-0.24,0
00-0022736,Steven Jackson,31,1,24,74,240,2014,2015,0.74,27,5.48,0.00,1.22,4.48,0.22,190,3.72,0.03,0.19,0.05,0.01,0.0607429718875502,0.07498365657005884,0,0.02727272727272727,0.024193548387096774,0.0164517563361494,0.026322810137839044,0.252991452991453,0.09572323470119468,9.43,3.50,-0.63,0
00-0022736,Steven Jackson,32,1,24,74,240,2015,,1.00,1,20.00,0.00,-3.00,23.00,1.00,21,2.38,0.05,0.19,0.02,-0.01,0.1,0.021138655462184873,0,0.0625,0.058823529411764705,0.026954177897574125,0.0431266846361186,0.35714285714285715,0.12254901960784313,3.50,,,0
00-0022999,John Kuhn,24,8,32,72,250,2006,,1.00,1,15.00,0.00,7.00,8.00,1.00,2,9.00,0.00,0.50,0.02,0.02,0.05714285714285714,0.048654331370899924,0,0.047619047619047616,0.043478260869565216,0.01903553299492386,0.030456852791878177,0.36585365853658536,0.024803876326718967,2.15,,,0
00-0022999,John Kuhn,26,8,32,72,250,2008,2009,1.00,4,5.25,0.50,1.75,3.50,0.75,8,1.25,0.13,0.63,0.01,0.00,0.01596351197263398,0.020821896757063644,0.11764705882352941,0.02608695652173913,0.03787878787878788,0.06333577694077201,0.03074900781111757,0.06624605678233439,0.030013870952312623,4.18,4.50,0.08,0
00-0022999,John Kuhn,27,8,32,72,250,2009,2010,1.00,7,6.71,0.29,1.43,5.29,0.43,8,2.25,0.13,0.25,0.03,0.00,0.0356111645813282,0.043546634642877564,0.125,0.02857142857142857,0.04132231404958678,0.07291666666666667,0.04166666666666667,0.18007662835249041,0.040150916460601115,4.50,5.55,0.23,0
00-0022999,John Kuhn,28,8,32,72,250,2010,2011,0.83,18,5.39,0.11,-0.83,6.06,0.33,84,3.35,0.05,0.31,0.04,0.00,0.058855291576673865,0.050520465411773845,0.07407407407407407,0.031746031746031744,0.037037037037037035,0.04901530327561446,0.0339800407965387,0.1905697445972495,0.06580897610719155,5.55,5.12,-0.08,0
00-0022999,John Kuhn,29,8,32,72,250,2011,2012,0.83,18,4.28,0.11,1.06,3.39,0.28,30,2.60,0.13,0.30,0.03,0.00,0.02876001885902876,0.054793225666844934,0.043478260869565216,0.023255813953488372,0.02681992337164751,0.029631709360571867,0.021323778455175857,0.14722753346080306,0.03894309038310631,5.12,3.51,-0.31,0
00-0022999,John Kuhn,30,8,32,72,250,2012,2013,0.83,18,8.22,0.00,1.72,7.11,0.39,23,2.74,0.04,0.17,0.04,0.01,0.08613728129205922,0.07355742296918767,0,0.0440251572327044,0.0374331550802139,0.022629969418960245,0.03620795107033639,0.3627450980392157,0.0355544295245334,3.51,3.43,-0.02,0
00-0022999,John Kuhn,31,8,32,72,250,2013,2014,0.68,19,4.26,0.00,0.63,4.37,0.11,10,3.80,0.10,0.70,0.04,0.00,0.04848130841121495,0.06857113593703622,0,0.012987012987012988,0.011560693641618497,0.011915269196822596,0.019064430714916154,0.18663594470046083,0.02730984745373235,3.43,1.73,-0.50,0
00-0022999,John Kuhn,32,8,32,72,250,2014,2015,1.00,4,5.75,0.00,-0.50,6.25,0.00,24,3.54,0.04,0.17,0.01,0.00,0.01751927119831815,0.016064943059402894,0,0,0,0.003828229027962716,0.006125166444740347,0.06371191135734072,0.017741990514858915,1.73,2.93,0.69,0
00-0022999,John Kuhn,33,8,32,72,250,2015,2016,0.60,10,5.60,0.00,-0.10,5.90,0.30,9,3.11,0.22,0.33,0.03,0.00,0.05235137533274179,0.04475081922672949,0,0.030612244897959183,0.026785714285714284,0.013127051101734646,0.021003281762775435,0.16816816816816818,0.03488279908036256,2.93,4.73,0.61,0
00-0022999,John Kuhn,34,8,32,72,250,2016,2017,0.80,20,3.50,0.05,0.75,2.50,0.25,18,2.06,0.22,0.67,0.04,0.00,0.02557544757033248,0.05814249699141785,0.034482758620689655,0.023255813953488372,0.02459016393442623,0.025695485590538063,0.02042312177244711,0.1282051282051282,0.038880888706027565,4.73,0.20,-0.96,0
00-0022999,John Kuhn,35,8,32,72,250,2017,,0,0,0,0,0,0,0,1,2.00,0.00,1.00,0.00,0.00,0,0,0,0,0,0,0,0,0.0023883448770002386,0.20,,,0
00-0023500,Frank Gore,22,3,1,69,212,2005,2006,1.00,15,8.73,0.00,0.00,0.00,0.27,127,4.79,0.02,0.20,0.05,0,,0,0,0.05405405405405406,0.05,0.037449971412235564,0.059919954259576906,0.41324921135646686,0.17082807623348165,7.35,20.06,1.73,1
00-0023500,Frank Gore,23,3,1,69,212,2006,2007,1.00,61,7.95,0.02,0.59,7.36,0.34,313,5.42,0.03,0.22,0.14,0.01,0.31843971631205675,0.2138630390797647,0.0625,0.1590909090909091,0.14864864864864866,0.11484186487418131,0.1462469837986901,1.0898876404494382,0.30367819571633997,20.06,15.79,-0.21,0
00-0023500,Frank Gore,24,3,1,69,212,2007,2008,1.00,53,8.23,0.02,0.62,7.60,0.38,260,4.24,0.02,0.16,0.11,0.01,0.35288966725043786,0.1740436898741397,0.06666666666666667,0.15384615384615385,0.14482758620689656,0.11929547844374344,0.15087276550998951,0.9159663865546218,0.267830886511186,15.79,16.28,0.03,0
00-0023500,Frank Gore,25,3,1,69,212,2008,2009,0.96,45,8.29,0.04,0.91,7.49,0.33,240,4.32,0.03,0.19,0.11,0.01,0.21755971594577148,0.1671927897696109,0.1,0.10067114093959731,0.10059171597633136,0.10694656488549618,0.1111145038167939,0.8714953271028038,0.2114296316912515,16.28,19.90,0.22,1
00-0023500,Frank Gore,26,3,1,69,212,2009,2010,0.69,75,5.41,0.04,0.13,5.47,0.17,229,4.89,0.04,0.21,0.16,0.00,0.28913963328631875,0.2438702967429369,0.14285714285714285,0.10483870967741936,0.1103448275862069,0.14040580554342022,0.13893500315518664,0.871244635193133,0.2581015730670175,19.90,18.41,-0.07,1
00-0023500,Frank Gore,27,3,1,69,212,2010,2011,0.64,72,6.28,0.03,0.47,6.24,0.22,203,4.20,0.01,0.21,0.20,0.01,0.36035313001605135,0.313272497474262,0.16666666666666666,0.14953271028037382,0.15126050420168066,0.17557823129251698,0.1809251700680272,1.2696629213483146,0.2509604659809146,18.41,10.75,-0.42,0
00-0023500,Frank Gore,28,3,1,69,212,2011,2012,0.55,31,3.68,0.00,0.52,3.29,0.16,282,4.29,0.03,0.19,0.07,0.00,0.07068607068607069,0.10682622507316301,0,0.03333333333333333,0.02976190476190476,0.017851550266207328,0.028562480425931725,0.25277161862527714,0.16282122481950825,10.75,11.83,0.10,0
