player_id,name,age,draft_round,draft_pick,height,weight,season,pred_season,completions,targets,receiving_yards_yards,receiving_tds,adot,receiving_yac,firstdowns_per_tgt,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,tgt_sh,ay_sh,yac_sh,wopr_y,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fantasy_points_ppr,pred_fantasy_points,pct_increase,breakout
00-0021547,Antonio Gates,25,,,76,255,2005,2006,0.94,95,11.59,0.11,0.00,0.00,0.65,0,,,,,0.1934826883910387,,,,0.4,0.3425414364640884,0.34951456310679613,0.35599319920657413,0.32958911873051855,2.2423625254582484,0.1929895125729949,17.27,12.79,-0.26,0
00-0021547,Antonio Gates,26,,,76,255,2006,2007,1.00,71,13.01,0.13,9.14,3.87,0.69,0,,,,,0.15236051502145923,0.15649867374005305,0.2099236641221374,0.35373971152423134,0.375,0.28994082840236685,0.3005181347150259,0.32294415127528586,0.2917106420404574,1.9828326180257512,0.15110443860600248,12.79,11.97,-0.06,0
00-0021547,Antonio Gates,27,,,76,255,2007,2008,0.93,81,12.15,0.11,9.84,3.22,0.67,0,,,,,0.17197452229299362,0.1992001999500125,0.20502749410840534,0.41732194339950046,0.4090909090909091,0.34177215189873417,0.35,0.3595060844667144,0.3297551896921976,2.089171974522293,0.18347587542359206,11.97,10.38,-0.13,0
00-0021547,Antonio Gates,28,,,76,255,2008,2009,0.97,62,11.35,0.13,7.85,3.68,0.63,0,,,,,0.13596491228070176,0.12257739743267053,0.14223331253898938,0.3020092863671891,0.25806451612903225,0.2154696132596685,0.22169811320754718,0.22190824751042643,0.20021448633926292,1.543859649122807,0.13072476656291684,10.38,14.28,0.38,1
00-0021547,Antonio Gates,29,,,76,255,2009,2010,0.69,114,10.15,0.07,9.33,4.15,0.54,0,,,,,0.21965317919075145,0.21718718105735865,0.2302823758519961,0.5032295136320141,0.27586206896551724,0.2747747747747748,0.2749003984063745,0.26631541086979815,0.2605874160123667,2.229287090558767,0.16297997501913855,14.28,18.82,0.32,1
00-0021547,Antonio Gates,30,,,76,255,2010,2011,0.77,65,12.03,0.15,9.72,4.78,0.65,0,,,,,0.17615176151761516,0.19930621255124567,0.22009907997169142,0.4236726123174193,0.625,0.27450980392156865,0.3076923076923077,0.43774023062139655,0.3253843689942345,2.1192411924119243,0.19434519506805178,18.82,14.14,-0.25,1
00-0021547,Antonio Gates,31,,,76,255,2011,2012,0.73,88,8.84,0.08,9.08,2.91,0.51,0,,,,,0.18181818181818182,0.17890729959695478,0.16819973718791065,0.4158531124048366,0.28,0.23316062176165803,0.23853211009174313,0.24234148908182057,0.21974638253091294,1.6074380165289257,0.14568339621445103,14.14,9.65,-0.32,0
00-0021547,Antonio Gates,32,,,76,255,2012,2013,0.61,80,6.73,0.09,10.73,1.66,0.38,0,,,,,0.16129032258064516,0.23226854358419058,0.08080194410692589,0.42775031873832026,0.30434782608695654,0.17857142857142858,0.193717277486911,0.23314922911813207,0.19043007093683742,1.0846774193548387,0.12970493917841594,9.65,10.23,0.06,0
00-0021547,Antonio Gates,33,,,76,255,2013,2014,0.68,113,7.72,0.04,7.12,3.24,0.43,0,,,,,0.20772058823529413,0.1906116642958748,0.1771539206195547,0.46407021378964103,0.125,0.21304347826086956,0.20229007633587787,0.15986489504242965,0.18078383206788745,1.6029411764705883,0.11926807474650676,10.23,13.94,0.36,1
00-0021547,Antonio Gates,34,,,76,255,2014,2015,0.70,98,8.38,0.12,9.32,2.56,0.45,0,,,,,0.17073170731707318,0.1862885125484595,0.1302542812662169,0.4051283710143774,0.3870967741935484,0.205607476635514,0.22857142857142856,0.28910239082116895,0.23030576079774137,1.4303135888501741,0.15709718760122243,13.94,13.55,-0.03,0
00-0021547,Antonio Gates,35,,,76,255,2015,2016,0.66,85,7.41,0.06,8.19,2.81,0.39,0,,,,,0.183585313174946,0.19387186629526462,0.14192399049881235,0.4304754627986307,0.2777777777777778,0.21153846153846154,0.21839080459770116,0.2370809088390136,0.21266278747575507,1.3606911447084233,0.1488333066964999,13.55,11.37,-0.16,0
00-0021547,Antonio Gates,36,,,76,255,2016,2017,0.57,93,5.89,0.08,8.27,2.02,0.37,0,,,,,0.1987179487179487,0.19105590062111802,0.11612106238418778,0.4509216435738175,0.25,0.19540229885057472,0.20297029702970298,0.20335287389190734,0.17536459822705175,1.170940170940171,0.1263917631565445,11.37,4.98,-0.56,0
00-0021547,Antonio Gates,37,,,76,255,2017,2018,0.58,52,6.08,0.06,8.31,1.27,0.31,0,,,,,0.08919382504288165,0.09037656903765691,0.030697674418604652,0.206091992794448,0.10714285714285714,0.07272727272727272,0.07661290322580645,0.08828907304517061,0.0769768025865587,0.5420240137221269,0.053833252177676774,4.98,4.43,-0.11,0
00-0021547,Antonio Gates,38,,,76,255,2018,,0.62,45,7.40,0.04,7.91,2.80,0.42,0,,,,,0.09259259259259259,0.09697630073549442,0.061855670103092786,0.21646992947728444,0.06666666666666667,0.09405940594059406,0.09051724137931035,0.07406229615133725,0.0784996738421396,0.6851851851851852,0.05148295524469787,4.43,,,0
00-0022127,Jason Witten,23,3,5,78,263,2005,2006,1.00,66,11.47,0.09,0.00,0.00,0.61,0,,,,,0.132,,,,0.2608695652173913,0.22598870056497175,0.23,0.23444687384255108,0.218593259017647,1.514,0.14243803905223,11.11,8.55,-0.23,0
00-0022127,Jason Witten,24,3,5,78,263,2006,2007,1.00,64,11.78,0.02,8.16,3.63,0.58,0,,,,,0.12648221343873517,0.11151463362529374,0.16257883672039244,0.2789350270583377,0.038461538461538464,0.18781725888324874,0.17040358744394618,0.11192808912258138,0.15600801951920715,1.4901185770750989,0.10261259862524524,8.55,14.74,0.72,1
00-0022127,Jason Witten,25,3,5,78,263,2007,2008,1.00,96,11.93,0.07,7.90,4.03,0.58,0,,,,,0.1807909604519774,0.17313841936957514,0.2231833910034602,0.4096971761736262,0.19444444444444445,0.25806451612903225,0.2490118577075099,0.23067210567210567,0.2524087024087024,2.1563088512241055,0.16470510881714773,14.74,13.46,-0.09,0
00-0022127,Jason Witten,26,3,5,78,263,2008,2009,1.00,81,11.75,0.05,6.91,4.84,0.62,0,,,,,0.15547024952015356,0.11779554059739167,0.224,0.3274418067581437,0.14285714285714285,0.30303030303030304,0.27979274611398963,0.19493661501964565,0.22618429831714734,1.8272552783109406,0.15273574627769035,13.46,11.61,-0.14,0
00-0022127,Jason Witten,27,3,5,78,263,2009,2010,0.76,124,8.31,0.02,7.11,3.65,0.39,0,,,,,0.22545454545454546,0.21070234113712374,0.19842312746386334,0.5067436910915172,0.07692307692307693,0.23645320197044334,0.2183406113537118,0.15333996808455874,0.19919010278144786,1.8727272727272728,0.1385096625400949,11.61,15.51,0.34,1
00-0022127,Jason Witten,28,3,5,78,263,2010,2011,0.73,128,7.83,0.07,7.07,3.07,0.38,0,,,,,0.2222222222222222,0.22981208735398678,0.1744340878828229,0.5171830032165228,0.3103448275862069,0.24378109452736318,0.25217391304347825,0.2742313491543202,0.25256326209518815,1.7395833333333333,0.16911734645207885,15.51,12.70,-0.18,0
00-0022127,Jason Witten,29,3,5,78,263,2011,2012,0.68,117,8.05,0.04,7.69,3.10,0.40,0,,,,,0.20526315789473684,0.20613834173156206,0.17595734367426077,0.47280541022735495,0.15151515151515152,0.2146118721461187,0.20634920634920634,0.1815289658316831,0.19953725442160206,1.6526315789473685,0.13563666461965665,12.70,14.49,0.14,1
00-0022127,Jason Witten,30,3,5,78,263,2012,2013,0.74,149,6.97,0.02,7.99,2.10,0.38,0,,,,,0.22644376899696048,0.20598408855067452,0.1584008097165992,0.5044529243359803,0.10344827586206896,0.23628691983122363,0.22180451127819548,0.1557906443412909,0.18719606542882405,1.5790273556231003,0.14871295001859713,14.49,12.88,-0.11,0
00-0022127,Jason Witten,31,3,5,78,263,2013,2014,0.66,111,7.67,0.07,8.21,2.91,0.40,0,,,,,0.189419795221843,0.19494971110635567,0.16093672147483806,0.440089461717849,0.24242424242424243,0.20657276995305165,0.21138211382113822,0.22189834932381075,0.20958281346355176,1.4522184300341296,0.1380405079569201,12.88,9.13,-0.29,0
00-0022127,Jason Witten,32,3,5,78,263,2014,2015,0.71,90,7.81,0.06,9.23,2.54,0.53,0,,,,,0.18907563025210083,0.1943859649122807,0.1281477336317851,0.43912221730797585,0.13513513513513514,0.23414634146341465,0.2190082644628099,0.15526716836597076,0.16734638830447215,1.476890756302521,0.10637609095382385,9.13,10.27,0.12,0
00-0022127,Jason Witten,33,3,5,78,263,2015,2016,0.74,104,6.86,0.03,6.99,2.21,0.35,0,,,,,0.19696969696969696,0.17937330372563534,0.13001695873374788,0.4389531884350537,0.1875,0.2057142857142857,0.20418848167539266,0.19070403861843893,0.19262646178950232,1.3503787878787878,0.13763004908777163,10.27,9.52,-0.07,0
00-0022127,Jason Witten,34,3,5,78,263,2016,2017,0.73,95,7.08,0.03,6.27,2.87,0.35,0,,,,,0.20430107526881722,0.1599141400590287,0.17256637168141592,0.4343829249504488,0.125,0.1783783783783784,0.1722488038277512,0.1544398907103825,0.17210382513661202,1.4473118279569892,0.10855310049893087,9.52,9.19,-0.03,0
00-0022127,Jason Witten,35,3,5,78,263,2017,,0.72,87,6.44,0.06,6.92,1.21,0.30,0,,,,,0.17647058823529413,0.15267562769464874,0.07697947214076246,0.38684638450866016,0.22727272727272727,0.16049382716049382,0.16847826086956522,0.1978215710927677,0.18015087738479202,1.1359026369168357,0.11416234351216177,9.19,,,0
00-0022127,Jason Witten,37,3,5,78,263,2019,2020,0.76,83,6.37,0.05,6.58,1.95,0.33,0,,,,,0.1390284757118928,0.09727418492784608,0.08617021276595745,0.28636206151011606,0.13333333333333333,0.11790393013100436,0.11969111969111969,0.12062423500611995,0.11299877600979193,0.8860971524288107,0.0838940260737116,8.74,3.19,-0.64,0
00-0022127,Jason Witten,38,3,5,78,263,2020,,0.76,17,4.06,0.12,5.35,1.18,0.47,0,,,,,0.05029585798816568,0.03298296484233418,0.014803849000740192,0.10183015885611586,0.09523809523809523,0.061068702290076333,0.06578947368421052,0.06024253828864147,0.039245204118969215,0.20414201183431951,0.03230314322747894,3.19,,,0
